PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8299868,Pacific,In force,42378,42469,SL,USD,90,23/08/2016,42469,0,12000,Annual,43109,42895,68,23999.99,0,0,0,27239.36,0,N
8300095,Pacific,In force,42378,29/08/2016,SL,HKD,720,24/08/2016,29/08/2016,0,6000,Monthly,43102,42897,61,90000,0,6000,0,103084.83,0,N
8303439,Vista,Premium ceased,41645,18/06/2014,SL,HKD,720,41796,18/06/2014,0,20000,Monthly,42372,30/12/2015,25,380000,0,0,0,654065.51,0,N
8303498,Vista,In force,41645,19/06/2014,SL,HKD,720,31/05/2014,19/06/2014,0,7200,Monthly,43102,42897,25,453600,0,7200,0,666381.8,0,N
8307178,Pacific,In force,42378,42378,SL,USD,90,26/08/2016,42378,0,12000,Annual,43109,22/11/2017,67,23999.99,0,0,0,27384.89,0,N
8307812,Pacific,In force,42378,13/09/2016,SL,USD,90,27/08/2016,13/09/2016,0,1000,Monthly,43102,27/11/2017,64,16000,0,0,0,20078.4,0,N
8307820,Pacific,In force,42378,42469,SL,HKD,720,27/08/2016,42469,0,4000,Monthly,43102,42897,74,60000,0,4000,0,61855.84,0,N
8307828,Pacific,In force,42378,42560,SL,HKD,720,27/08/2016,42560,0,4000,Monthly,43102,42897,74,28000,0,4000,0,27701.69,0,N
8307855,Pacific,In force,42378,13/09/2016,SL,HKD,720,27/08/2016,13/09/2016,0,72000,Annual,43109,42895,62,144000,0,0,0,153615.52,0,N
8309170,Vista,In force,41646,25/06/2014,SL,HKD,720,18/06/2014,25/06/2014,0,18000,Monthly,43102,42897,25,982000,0,18000,0,1454739.8,0,N
8309546,Pacific,In force,42378,13/09/2016,SL,HKD,720,42378,13/09/2016,0,10500,Monthly,43102,42897,68,157500,0,10500,0,201715.99,0,N
8319314,Pacific,In force,42737,24/01/2017,SL,HKD,720,18/09/2016,24/01/2017,0,16000,Monthly,43102,42897,66,160000,0,16000,0,245264.15,0,N
8319322,Pacific,In force,42379,22/09/2016,SL,USD,90,18/09/2016,22/09/2016,0,1000,Monthly,43102,27/11/2017,62,14999.99,0,0,0,18321.5,0,N
8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,390651.71,0,N
8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,390651.71,0,N
