 Policy Number,PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8363274,8363274,Pacific,In force,42372,21/02/2016,SL,HKD,720,42462,21/02/2016,0,4200,Monthly,43103,24/01/2018,63,100800,0,0,0,104257.4,0,N
8363282,8363282,Pacific,Premium ceased,42372,23/02/2016,SL,HKD,720,42462,23/02/2016,0,6000,Monthly,42746,24/05/2017,64,90000,0,0,0,104017.03,0,N
8367490,8367490,Pacific,In force,42372,24/02/2016,SL,HKD,720,15/02/2016,24/02/2016,0,6000,Monthly,43103,43221,58,138000,0,0,0,161130.6,0,N
8374085,8374085,Vista,In force,41649,23/09/2014,SL,HKD,720,14/09/2014,23/09/2014,0,2400,Monthly,43103,43221,25,648900,0,0,0,1169224.77,0,N
8374551,8374551,Pacific,In force,42372,42646,SL,HKD,720,23/02/2016,42646,0,4000,Monthly,43103,43221,70,92000,0,0,0,98842.16,0,N
8374932,8374932,Vista,In force,41649,28/09/2014,SL,HKD,720,21/08/2014,28/09/2014,0,5600,Monthly,43103,24/01/2018,25,229600,0,0,0,337403.51,0,N
8377093,8377093,Vista,In force,41649,25/09/2014,SL,HKD,720,18/09/2014,25/09/2014,0,10000,Monthly,43103,43221,25,818000,0,0,0,1374951.84,0,N
8380247,8380247,Vista,In force,41650,41740,SL,HKD,720,41952,41740,0,2400,Monthly,43103,43221,25,162000,0,0,0,256660.83,0,N
8380330,8380330,Pacific,In force,42374,19/04/2016,SL,HKD,720,42403,19/04/2016,0,10000,Monthly,43103,43221,64,210000,0,0,0,266393.52,0,N
8380353,8380353,Vista,In force,41651,18/11/2014,SL,HKD,720,19/09/2014,18/11/2014,0,5000,Monthly,43103,43221,25,597000,0,0,0,907521.73,0,N
8383517,8383517,Pacific,In force,42381,15/12/2016,SL,USD,90,27/11/2016,15/12/2016,0,516,Monthly,43103,43221,75,7224,0,0,0,7619.61,0,N
8383885,8383885,Pacific,In force,42373,42708,SL,HKD,720,42493,42708,0,24000,Monthly,43103,43221,62,527800,0,0,0,820603.59,0,N
8387438,8387438,Vista,In force,41649,41830,SL,USD,90,26/09/2014,41830,0,8700,Annual,43110,42988,25,34799.99,0,0,0,51514.77,0,N
8389395,8389395,Pacific,In force,42373,42433,SL,HKD,720,18/03/2016,42433,0,18000,Monthly,43103,43221,67,396000,0,0,0,552599.23,0,N
8392086,8392086,Pacific,In force,42374,42648,SL,HKD,720,29/03/2016,42648,0,216000,Annual,43105,42983,59,432000,0,0,0,587117.81,0,N
8392086,8392086,Pacific,In force,42374,42648,SL,HKD,720,29/03/2016,42648,0,216000,Annual,43105,42983,59,432000,0,0,0,587117.81,0,N
8399878,8399878,Vista,In force,41650,16/10/2014,SL,HKD,720,41922,16/10/2014,0,2400,Monthly,43103,42898,25,930000,0,4800,0,1498292.58,0,N
8399970,8399970,Pacific,In force,42381,42563,SL,USD,90,42381,42563,0,12000,Annual,43112,43081,57,24000,0,0,0,28298.1,0,N
9835607,9835607,Vista,Lapse,40182,40486,SL,HKD,720,30/01/2010,40425,0,0,Single Premium,0,40703,25,43200,0,0,0,0,0,N
9840568,9840568,Vista,In force,40180,18/02/2010,SL,HKD,720,40331,17/02/2010,0,3500,Monthly,43103,43221,25,336000,0,0,0,276680.38,0,N
9843770,9843770,Vista,Premium ceased,40180,28/02/2010,SL,HKD,720,40423,26/02/2010,0,2400,Monthly,42740,22/03/2017,25,177600,0,0,0,135548.41,0,N
9843770,9843770,Vista,Premium ceased,40180,28/02/2010,SL,HKD,720,40423,26/02/2010,0,2400,Monthly,42740,22/03/2017,25,177600,0,0,0,135548.41,0,N
9860437,9860437,Vista,In force,40181,28/02/2010,SL,HKD,720,20/02/2010,25/02/2010,0,2400,Monthly,43103,43221,25,228000,0,0,0,273563.49,0,N
9861620,9861620,Vista,In force,40181,40212,JLFD,HKD,720,17/02/2010,40181,0,15000,Monthly,43103,43221,25,561000,0,0,0,654077.89,0,N
9861620,9861620,Vista,In force,40181,40212,JLFD,HKD,720,17/02/2010,40181,0,15000,Monthly,43103,43221,25,561000,0,0,0,654077.89,0,N
9861620,9861620,Vista,In force,40181,40212,JLFD,HKD,720,17/02/2010,40181,0,15000,Monthly,43103,43221,25,561000,0,0,0,654077.89,0,N
9865684,9865684,Vista,In force,40181,28/03/2010,SL,HKD,720,23/02/2010,25/03/2010,0,10000,Monthly,43103,43221,25,608000,0,0,0,843256.72,0,N
9865808,9865808,Vista,Premium ceased,40181,40271,JLFD,HKD,720,23/02/2010,40240,0,2400,Monthly,42373,16/02/2016,25,93600,0,0,0,109878.71,0,N
9865808,9865808,Vista,Premium ceased,40181,40271,JLFD,HKD,720,23/02/2010,40240,0,2400,Monthly,42373,16/02/2016,25,93600,0,0,0,109878.71,0,N
9918958,9918958,Vista,In force,40183,29/04/2010,SL,HKD,720,40363,29/04/2010,0,15000,Monthly,43103,43221,16,1395000,0,0,0,1054263.63,0,N
9954377,9954377,Vista,In force,40183,29/04/2010,SL,HKD,720,23/04/2010,29/04/2010,0,5600,Monthly,43103,43221,25,375200,0,0,0,443761.77,0,N
9965607,9965607,Vista,In force,40179,40513,SL,HKD,720,29/12/2009,40483,0,5600,Monthly,43103,43221,25,508600,0,0,0,553329.08,0,N
9966107,9966107,Vista,Premium ceased,40179,14/01/2010,SL,HKD,720,29/12/2009,13/01/2010,0,3000,Monthly,42373,42552,25,423000,0,0,0,641238.14,0,N
9966119,9966119,Vista,Premium ceased,40179,40483,SL,HKD,720,29/12/2009,40483,0,5600,Monthly,43101,42897,25,416300,0,0,0,439869.55,0,N
